Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Austria,AUT,Real effective exchange rate index (2010 = 100),PX.REX.REER,100.9557385,98.96525108,100.7538811,103.4031682,104.0778632,108.0453048,105.5788292,101.0559435,100.6977385,98.96812317,95.9034352,96.06089326,96.84133895,100.283159,101.6374567,101.2122466,100.4816383,101.3410067,102.0678139,102.7275284,100,100.5267279,98.91967339,101.0976578,102.3977407,99.76225732,101.0074159,102.1786237
Austria,AUT,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,11.36983333,11.67591667,10.98933333,11.6321825,11.42182492,10.08149583,10.5865575,12.20424417,12.379065,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,AZE,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,0.01084,0.019995,0.314045,0.8827085,0.860252833,0.797075,0.773799687,0.824033333,0.89483075,0.931316667,0.972164167,0.982146,0.9826955,0.945421,0.893445,0.858123808,0.821619579,0.803783333,0.80265,0.789686389,0.785645349,0.784541075,0.7843475,1.024563819,1.595721573,1.721154802
"Bahamas, The",BHS,Real effective exchange rate index (2010 = 100),PX.REX.REER,104.7452322,107.9862685,110.7524499,113.1722943,108.7635286,102.4001648,102.7305933,107.062141,113.1018451,110.3937607,112.2373779,115.4856579,114.1567202,108.3445602,102.8502505,100.6109486,99.06396859,95.23882682,94.99968664,101.8255442,100,96.61002619,99.59241133,98.79587277,99.05679962,110.2171751,109.8604707,108.4246827
"Bahamas, The",BHS,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bahrain,BHR,Real effective exchange rate index (2010 = 100),PX.REX.REER,139.2109785,134.2076839,127.3679702,133.6741037,129.0964896,123.114629,122.4508259,130.5626605,133.5422206,129.6456387,132.6110486,136.6655278,139.8883993,129.027135,118.0750774,111.4456849,113.773405,106.5558894,98.21050498,102.5355377,100,93.29393323,95.89942732,98.45125992,100.8372123,111.6204303,114.581226,115.1411933
Bahrain,BHR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,0.376,0.376,0.376,0.375999989,0.375999965,0.375999971,0.375999968,0.375999965,0.375999963,0.375999979,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376,0.376
Bangladesh,BGD,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,BGD,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,34.56880833,36.59618333,38.95075833,39.5672575,40.21173917,40.27831833,41.79416833,43.89211583,46.90565167,49.0854,52.14166667,55.80666667,57.888,58.15004,59.51265833,64.327475,68.93323333,68.874875,68.598275,69.03906667,69.64929167,74.1524,81.86265833,78.103235,77.64140833,77.94690833,78.46809167,80.43754167
Barbados,BRB,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,BRB,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Belarus,BLR,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,BLR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,0.000364111,0.001152097,0.001322988,0.002602055,0.004612762,0.024929533,0.087675,0.139,0.179091667,0.205127083,0.21602575,0.215382,0.214456417,0.214607833,0.21363975,0.279304922,0.297851,0.497463333,0.833689833,0.88800525,1.02241025,1.592598833,1.989562833,1.932341667
Belgium,BEL,Real effective exchange rate index (2010 = 100),PX.REX.REER,99.93465185,98.45490877,99.3501122,99.2772979,100.9432809,104.646275,102.0141098,95.95381624,95.80195664,94.16955194,90.32607476,90.95610243,92.39616387,96.88598655,98.7279718,99.1043384,98.7689597,99.82818337,103.2382228,103.1629143,100,101.0702257,98.92175469,100.5132944,99.95402657,95.48204193,98.23674028,99.92280369
Belgium,BEL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,33.41791667,34.14825,32.1495,34.59652083,33.4564975,29.48001667,30.96151333,35.77389083,36.29864083,,,,,,,,,,,,,,,,,,,
Belize,BLZ,Real effective exchange rate index (2010 = 100),PX.REX.REER,105.4596364,102.1646039,99.05148222,100.7723589,100.4557066,98.52584013,102.5723453,103.989009,107.3006838,107.977989,109.6608404,110.6852458,110.2343185,107.5543136,104.9257266,104.1524904,104.3834024,99.35832881,98.89209037,103.0555234,100,94.8622727,96.76146165,95.64026156,96.34169584,104.6612817,106.4254936,104.163741
Belize,BLZ,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Benin,BEN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,BEN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,272.264788,282.1069088,264.6918008,283.1625795,555.2046957,499.1484259,511.5524303,583.6693724,589.9517746,615.699132,711.9762744,733.0385071,696.9882036,581.2003139,528.2848093,527.4681428,522.8901096,479.2667826,447.8052556,472.1862908,495.2770216,471.8661141,510.5271359,494.0400374,494.4149529,591.4495075,593.0081704,582.0945501
Bermuda,BMU,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bermuda,BMU,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Bhutan,BTN,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,17.5035,22.74243333,25.91808333,30.49329167,31.3737425,32.42707667,35.43317333,36.31328583,41.259365,43.05542833,44.941605,47.18641417,48.61031917,46.58328417,45.31646667,44.099975,45.30700833,41.34853333,43.50518333,48.40526667,45.72581212,46.67046667,53.43723333,58.59784542,61.02951446,64.15194446,67.19531281,65.12156865
Bolivia,BOL,Real effective exchange rate index (2010 = 100),PX.REX.REER,103.0649205,107.0777116,105.2644241,104.216416,99.44684881,96.79667636,101.2988986,103.5407629,108.2781705,111.5114991,109.7254956,107.8133613,106.2544408,95.62124918,88.91026791,84.94396527,84.13657247,85.10854728,96.24927135,105.1306542,100,101.9395847,107.1882207,113.1860072,122.1806385,141.9104157,150.4659428,148.3799127
Bolivia,BOL,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,3.17265,3.580608333,3.900516667,4.265083333,4.620516667,4.800341667,5.0746125,5.254258333,5.510133333,5.812408333,6.183541667,6.606916667,7.17,7.659166667,7.936266667,8.0660625,8.011616667,7.851245161,7.238320699,7.02,7.016666667,6.9369625,6.91,6.91,6.91,6.91,6.91,6.91
Bosnia and Herzegovina,BIH,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,,,,,,,,1.734055833,1.759667583,1.835795385,2.122859512,2.185659583,2.078170426,1.732932204,1.575157028,1.57272202,1.559071956,1.429002742,1.33519568,1.407891238,1.476739568,1.406936586,1.522209974,1.473051323,1.474169187,1.763491647,1.768139024,1.735352713
Botswana,BWA,Real effective exchange rate index (2010 = 100),PX.REX.REER,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,BWA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1.860465833,2.021556667,2.109725,2.423075,2.6846455,2.772206667,3.324196667,3.650763333,4.22588,4.62439525,5.102244182,5.84143526,6.327784902,4.949663876,4.693831972,5.116756433,5.830312776,6.139392377,6.826856923,7.155137626,6.793607994,6.838232134,6.838232134,8.398925514,8.976086739,10.12900239,10.90115454,10.34742088
Brazil,BRA,Real effective exchange rate index (2010 = 100),PX.REX.REER,109.9051956,92.39872755,81.29208977,85.48397459,89.06675864,97.45339583,102.8215726,105.480164,102.5422679,68.183963,73.53576783,61.40930866,58.53954097,55.3223727,58.09064714,70.93815273,79.15673164,85.08030825,88.88538505,88.11016467,100,103.4985798,93.15781968,87.90598462,87.08255719,73.40491876,78.29100899,85.84123748
