Country Name,Country Code,Series Name,Series Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Algeria,DZA,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,23.68783612,26.07451532,28.50745402,27.35823918,33.03614675,29.45387839,31.26866783,31.82310342,29.87436722,27.42254418,28.16683826,26.13383769,25.08158293,22.41993552,21.91208842,19.32617549,19.20437933,19.83225917,21.42498031,16.3381657,16.3002029,22.79116913,19.85224435,19.06256307,20.1031063,19.31403809,19.02723266,20.24116869
Algeria,DZA,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,4.718360236,3.177506502,2.907251774,3.699578651,3.337242195,3.176902983,2.981385244,3.123718215,2.625145231,2.589095392,2.594219362,2.357540721,2.115481881,2.411889688,1.909735858,1.697748057,2.080700842,2.257159462,1.609352017,1.462727208,1.607337354,1.515366751,1.480853114,1.44271417,1.56270789,1.440700305,1.40353134,1.035772255
American Samoa,ASM,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,360300000,371900000,418000000,466700000,497800000,415700000,470600000,528600000,498200000,452600000,506000000,515800000,499200000,623800000,603700000,506200000,565700000,460200000,567800000,482000000,360900000,344500000,395703000,373829000,350000000,290000000,320000000,260000000
American Samoa,ASM,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Samoa,ASM,Agricultural raw materials imports (% of merchandise imports),TM.VAL.AGRI.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Merchandise imports (current US$),TM.VAL.MRCH.CD.WT,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,AND,Ores and metals imports (% of merchandise imports),TM.VAL.MMTL.ZS.UN,,,,,,0.712228744,0.766192881,0.663837169,0.667951135,0.680772357,0.755670062,0.789959969,0.614432721,0.619988478,0.613151253,,0.738406751,0.639185522,0.686799865,0.87099453,0.572546128,0.537085022,0.47102188,0.410493053,0.472272988,,,
Andorra,AND,Manufactures imports (% of merchandise imports),TM.VAL.MANF.ZS.UN,,,,,,65.28633154,65.75566029,64.81502382,72.13758647,74.61578096,74.10031121,74.07217647,74.88427789,75.50271074,76.28942046,,74.16636367,74.26992693,69.1965825,68.53091718,66.82190314,64.3641914,61.43512953,62.53077556,64.4040446,,,
Andorra,AND,Fuel imports (% of merchandise imports),TM.VAL.FUEL.ZS.UN,,,,,,3.574474126,3.708925364,3.510202502,3.581965895,3.030220198,4.439053367,4.429660189,4.54007761,4.434425735,4.33897946,,5.900191263,6.635123385,9.453176822,8.425026236,10.12233579,12.21567686,14.13865565,12.78124519,10.96223753,,,
Andorra,AND,Food imports (% of merchandise imports),TM.VAL.FOOD.ZS.UN,,,,,,29.72896996,29.13137398,30.44526817,23.04603248,21.08069276,19.98601203,20.10839324,19.36370739,18.88024797,18.18226136,,18.75581334,17.9408471,20.15049058,21.66413853,22.03834146,22.40515425,23.4639772,23.77984178,23.63197076,,,
