,year,CCodeA3,ccode,X,CCodeA3.x,Country.Name.x,GDP,GDPGrowth,polity2,durable,trade.in.GDP,UNCTAD.FDI.out,UNCTAD.FDI.outstock,UNCTAD.FDI.in,UNCTAD.FDI.in.stock,GDP.PerCapita,GDP.PerCapita.PPP,ExPriskShort,ExPriskLongMed,ExPriskSpecial,CommRisk,WarRiskFDI,FDIExpro,FDITransfer,PRS_VA,PRS_PV,PRS_GE,PRS_RQ,PRS_RL,PRS_CC,vae,pve,gee,rqe,rle,cce,tech.ex,TaxRate,icrg_qog,ti_cpi,gwf_regimetype,gwf_party,gwf_personal,gwf_military,gwf_monarch,CHN,v2x_polyarchy,v2x_libdem,v2x_delibdem,v2x_partipdem,v2x_egaldem,ccodecow,ccodealp,imf_ab,imf_exp,imf_gd,imf_gdpgr,imf_gns,imf_inflch,imf_inv,imf_nd,imf_ppgdp,imf_ue,bti_cps,unna_er,unna_gcf,hf_taxbur,ictd_taxcorp,ictd_taxgs,ictd_taxinc,ictd_taxind,ictd_taxindirect,ictd_taxpaywf,ictd_taxprop,ictd_taxtrade,bmr_dem,dpi_checks,gir_ga,sgi_qdai,sgi_qdcr,sgi_qdrl,no_ufs,p_autoc,p_democ,dpi_pr,iaep_evp,iaep_lap,iaep_lrit,iaep_lvp,h_polcon5,p_fragment,p_parcomp,p_parreg,p_xconst,p_xrcomp,p_xropen,h_lfup,ht_partsz,jw_avgballot,jw_avgballot2,jw_avgvote,jw_avgvote2,jw_indy,jw_indy2,jw_mdist,jw_mdist2,jw_mmdballot,jw_mmdballot2,jw_oneparty,jw_persr,jw_smdballot,jw_smdvote,vi_rcbg,vi_rcbm,vi_rsg,vi_rsm,vi_udr,vi_wcoord,wdi_agedr,vi_wgi,wdi_empagr,wdi_empind,wdi_empser,wdi_lfpedua,wdi_lfpedub,wdi_lfpedui,wdi_oilrent,wef_elec,wef_qair,wef_qoi,wef_qport,wef_qrail,wef_qroad,gcb_ppa,gcb_pparl,PA.NUS.FCRF,PX.REX.REER,TM.VAL.AGRI.ZS.UN,TM.VAL.FOOD.ZS.UN,TM.VAL.FUEL.ZS.UN,TM.VAL.MANF.ZS.UN,TM.VAL.MMTL.ZS.UN,TM.VAL.MRCH.CD.WT,TM.VAL.INSF.ZS.WT,TM.VAL.OTHR.ZS.WT,TM.VAL.SERV.CD.WT,TX.VAL.INSF.ZS.WT,TX.VAL.OTHR.ZS.WT,TX.VAL.SERV.CD.WT,NV.IND.MANF.ZS,NV.IND.TOTL.ZS,NV.SRV.TOTL.ZS
11,1990,CHL,155,335,CHL,Chile,33113887818,3.333565473,8,1,61.74569052,7.5,154,661.2,16106.684,2500.646257,4507.114744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.682247302,NA,0.55555558,NA,NA,0,0,0,0,0,0.772288825,0.628281917,0.356477202,0.31937463,0.473336025,155,CHL,-1.468,21.196,43.441,3.671,21.583,26.036,27.399,NA,NA,7.75,NA,304.9033333,26.36200261,NA,3.389633615,8.225204836,2.363550328,1.158511877,10.99019346,0,0,2.211294372,1,4,NA,NA,NA,NA,1,0,8,0,.e,.e,NA,.e,0.691511127,NA,4,2,7,2,4,0.817375887,0.31666666,1,1,2,1,1,0,2,2.923076923,1,1,0,5,NA,NA,1,2,1,2,18.56846762,NA,56.80271533,2,19.25,25.25,55.47999954,NA,NA,NA,0.328007512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,1990,CHN,710,363,CHN,China,3.60858E+11,3.907113896,-7,41,24.27313211,830,4455,3487.11,20690.62,317.884673,986.5683762,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.55555558,NA,party-based,1,0,0,0,1,0.10143217,0.048451774,0.11288737,0.039150607,0.125887767,710,CHN,NA,18.114,NA,3.9,38.395,3.1,34.38,NA,NA,2.5,NA,4.783208333,34.38012154,NA,3.907280496,8.601261763,4.44223702,0.734254053,12.01554311,NA,NA,0.833902817,0,1,NA,NA,NA,NA,2,7,0,NA,0,1,3,1,0,NA,1,4,3,1,4,NA,1,0,NA,NA,NA,NA,NA,102.6896552,NA,0,NA,1,NA,NA,NA,1,1,0,0,76.67158365,NA,52.46955285,NA,60.09999847,21.39999962,18.5,NA,NA,NA,5.273566071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,1990,CMR,471,391,CMR,Cameroon,11151578051,-6.105697646,-8,30,37.49644544,15.0956,1148.132,-112.831,360.432,951.8882236,1952.243722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.187747137,NA,0.58333331,NA,personal,0,1,0,0,0,0.265415946,0.134275381,0.109156325,0.105750554,0.175419159,471,CMR,-4.343,NA,NA,-6.161,14.239,1.504,16.355,NA,NA,NA,NA,272.264788,17.91134305,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,2,8,0,NA,0,1,3,1,0,NA,1,4,2,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.45916331,NA,NA,NA,NA,NA,NA,NA,10.85352629,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,1990,COG,484,444,COG,"Congo, Rep.",2798746051,1.000003567,-8,27,70.81935433,3.793,17.811,22.55155822,575.163,1146.812278,3322.420799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3611111,NA,party-military,1,0,0,0,0,0.164788031,0.063985275,0.215045816,0.142899267,0.080741015,484,COG,-8.976,31.637,0,1.003,38.202,0.343,15.906,NA,NA,NA,NA,272.264788,15.89238845,NA,8.910761155,2.50656168,10.69553806,1.784776903,6.771653543,NA,NA,3.280839895,0,1,NA,NA,NA,NA,1,8,0,NA,0,1,3,1,0,NA,1,4,2,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,90.08658224,NA,NA,NA,NA,NA,NA,NA,41.35411871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,1990,COL,100,472,COL,Colombia,40274204595,6.042038478,8,33,35.38637938,16,402.436,500,3500.149,1175.14927,4869.161847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47222221,NA,NA,0,0,0,0,0,0.462684031,0.298176511,0.366155983,0.280563901,0.165868608,100,COL,0.964,17.335,NA,4.282,18.398,29.124,19.718,NA,NA,6.637,NA,502.25925,24.12492479,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,2,0,8,1,1,1,1,1,0.445445571,NA,4,2,6,3,4,0.567147958,0.5714286,NA,NA,NA,NA,NA,NA,7.653846154,4.384615385,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.12020806,NA,1.429999948,30.87999916,67.66000366,NA,NA,NA,6.101958274,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,1990,CPV,402,500,CPV,Cabo Verde,306891107.3,0.692171874,-2,15,85.95158403,0.316715,NA,0.252601,3.80194182,897.6495095,1070.914065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0.393596064,0.328331406,0.341592768,0.218922641,0.332236168,402,CPV,-5.335,NA,NA,0.692,18.511,11.111,36.961,NA,NA,25.4,NA,70.03133333,46.25779988,NA,1.57522422,NA,3.654890732,2.079666512,NA,NA,NA,7.344730304,0,1,NA,NA,NA,NA,1,4,2,NA,,,NA,,NA,0,2,3,5,1,4,NA,1,NA,NA,NA,NA,NA,NA,3.772727273,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.3706134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,1990,CRI,94,519,CRI,Costa Rica,7403457319,3.904917795,10,71,66.50058764,2.1,44.1,162.4,1323.69923,2391.301446,5033.099942,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.66666669,NA,NA,0,0,0,0,0,0.880518899,0.822157985,0.820675716,0.611622443,0.779515748,94,CRI,-7.826,18.945,NA,3.6,19.472,19.069,26.374,NA,NA,4.642,NA,91.57929167,23.99664053,NA,0.567531467,6.110995397,2.258660588,1.69112912,11.3257879,0,0.066880813,5.012239189,1,2,NA,NA,NA,NA,1,0,10,1,1,1,3,1,0.741050689,NA,5,5,7,3,4,NA,0.50877196,0,NA,0,NA,0,NA,8.142857143,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,66.1993644,NA,25.93000031,25.86000061,47.47999954,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,1990,DOM,42,547,DOM,Dominican Republic,7073674721,-5.454312395,6,12,77.51764607,0.036,NA,132.8,571.5,984.6913025,3540.005792,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0,0,0,0,0,0.477127993,0.258721623,0.278858751,0.31718402,0.261063958,42,DOM,-1.592,NA,NA,-5.454,13.58,50.463,29.135,NA,NA,NA,NA,8.5253,22.99398772,NA,1.092424774,2.03203833,1.880195037,0.774219308,5.618080846,0,0.014639871,3.542969837,1,5,NA,NA,NA,NA,1,0,6,1,1,1,1,1,0.43047619,NA,3,2,5,3,4,0.466666667,0.5,NA,NA,NA,NA,NA,NA,4.137931034,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.27631383,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,1990,DZA,615,574,DZA,Algeria,62045099643,0.80000058,-2,1,48.38071368,4.6888,183.039,40,1560.57,2394.42038,6616.408352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.58796299,NA,party-military,1,0,0,0,0,0.381351139,0.150922946,0.325782375,0.177390679,0.296336498,615,DZA,2.181,25.711,NA,0.8,26.278,9.272,24.097,0,NA,19.757,NA,8.957508333,28.8674779,NA,NA,7.647907648,NA,NA,10.31746032,NA,NA,2.038239538,0,1,NA,NA,NA,NA,1,3,1,1,1,1,3,1,0,NA,3,2,3,1,4,NA,1,NA,NA,NA,NA,NA,NA,1.560846561,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.67571353,NA,NA,NA,NA,NA,NA,NA,11.16337884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,1990,ECU,130,602,ECU,Ecuador,15239278100,3.679914053,9,11,44.59491229,3.343745739,17.527,126.1795,1626,1491.401682,4829.416723,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319342187,NA,0.55555558,NA,NA,0,0,0,0,0,0.75118459,0.517742021,0.498002634,0.473655162,0.407907425,130,ECU,-2.942,NA,NA,3.008,12.194,48.519,14.614,NA,NA,6.1,NA,1,24.07200302,NA,NA,3.278032037,1.123733246,NA,5.685681595,0,0,2.184537431,1,3,NA,NA,NA,NA,1,0,9,1,1,1,3,1,0.73398202,NA,4,2,7,3,4,NA,0.21621622,0,NA,0,NA,0,NA,3.666666667,NA,0,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,73.79100839,NA,6.869999886,26.82999992,66.27999878,NA,NA,NA,10.49120764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
